model_id, model_label
0, AUDI A4
1, AUDI A6
2, AUDI A3
3, CHEVROLET BLAZER
4, CHEVROLET CORSA
5, FORD ESCORT
6, FORD F-1000
7, FORD FIESTA
8, FIAT FIORINO
9, VOLKSWAGEN GOLF
10, HONDA CIVIC
11, HYUNDAI ELANTRA
12, HYUNDAI SONATA
13, FORD KA
14, CHEVROLET KADETT
15, KIA SPORTAGE
16, VOLKSWAGEN KOMBI
17, LAND ROVER DEFENDER
18, LAND ROVER DISCOVERY
19, MERCEDES-BENZ SPRINTER
20, MITSUBISHI PAJERO
21, MITSUBISHI L200
22, MITSUBISHI LANCER
23, MITSUBISHI ECLIPSE
24, NISSAN PATHFINDER
25, CHEVROLET OMEGA
26, FIAT PALIO
27, FORD PAMPA
28, VOLKSWAGEN PARATI
29, VOLKSWAGEN PASSAT
30, VOLKSWAGEN POLO
31, PORSCHE 911
32, VOLKSWAGEN QUANTUM
33, FORD RANGER
34, RENAULT CLIO
35, CHEVROLET S10
36, VOLKSWAGEN SANTANA
37, VOLKSWAGEN SAVEIRO
38, SUBARU IMPREZA
39, SUBARU LEGACY
40, SUZUKI VITARA
41, FORD TAURUS
42, FIAT TEMPRA
43, TOYOTA COROLLA
44, TOYOTA CAMRY
45, TOYOTA HILUX
46, TOYOTA BANDEIRANTE
47, FIAT UNO
48, VOLKSWAGEN VARIANT
49, CHEVROLET VECTRA
50, VOLVO V40
51, VOLKSWAGEN GOL
52, CHEVROLET SILVERADO
53, FORD COURIER
54, FIAT SIENA
55, RENAULT MÉGANE
56, SUBARU FORESTER
57, FIAT MAREA
58, CITROËN XSARA
59, NISSAN FRONTIER
60, DODGE DAKOTA
61, CHEVROLET ASTRA
62, FIAT STRADA
63, KIA CARNIVAL
64, PORSCHE BOXSTER
65, FIAT DUCATO
66, TOYOTA RAV4
67, FORD F-250
68, RENAULT SCÉNIC
69, PEUGEOT 206
70, MERCEDES-BENZ CLASSE A
71, SUZUKI JIMNY
72, SUZUKI GRAND VITARA
73, HONDA ACCORD
74, PEUGEOT BOXER
75, PEUGEOT PARTNER
76, MERCEDES-BENZ CLK 320
77, JEEP WRANGLER
78, JEEP CHEROKEE
79, JEEP GRAND CHEROKEE
80, AUDI TT
81, AUDI S3
82, RENAULT KANGOO
83, HONDA CRV
84, VOLKSWAGEN NEW BEETLE
85, BMW X5
86, TROLLER T4
87, CHEVROLET CELTA
88, CITROËN JUMPER
89, FORD FOCUS
90, VOLVO S60
91, VOLKSWAGEN BORA
92, KIA MAGENTIS
93, CHRYSLER PT CRUISER
94, CHEVROLET TRACKER
95, CHEVROLET ZAFIRA
96, SSANGYONG KORANDO
97, KIA CARENS
98, AUDI RS4
99, HYUNDAI SANTA FÉ
100, CITROËN C5
101, JAGUAR X-TYPE
102, FIAT DOBLÒ
103, PEUGEOT 307
104, CHEVROLET MERIVA
105, FIAT STILO
106, PORSCHE CAYENNE
107, VOLKSWAGEN POLO SEDAN
108, BMW Z4
109, FORD ECOSPORT
110, HONDA FIT
111, CITROËN C3
112, TOYOTA LAND CRUISER PRADO
113, MITSUBISHI AIRTREK
114, NISSAN XTERRA
115, RENAULT MASTER
116, SUBARU OUTBACK
117, KIA BONGO
118, BMW M3
119, BMW M5
120, AUDI RS6
121, CHEVROLET MONTANA
122, VOLKSWAGEN FOX
123, VOLKSWAGEN TOUAREG
124, LAND ROVER FREELANDER
125, BMW X3
126, KIA SORENTO
127, TOYOTA FIELDER
128, CHEVROLET CLASSIC
129, VOLKSWAGEN FUSCA
130, BMW 316i
131, BMW 318i
132, BMW 320i
133, BMW 325i
134, BMW 328i
135, BMW 330i
136, BMW 528i
137, BMW 530i
138, BMW 535i
139, BMW 540i
140, BMW 750i
141, CHEVROLET C10
142, CHEVROLET CAMARO
143, CHEVROLET CARAVAN
144, CHEVROLET CHEVETTE
145, CHEVROLET CORVETTE
146, CHEVROLET D20
147, CHEVROLET MONZA
148, CHEVROLET OPALA
149, CHEVROLET SUBURBAN
150, CHEVROLET VERANEIO
151, CHRYSLER 300 C
152, CHRYSLER TOWN & COUNTRY
153, DODGE DURANGO
154, DODGE RAM
155, FIAT 147
156, FIAT PUNTO
157, FORD DEL REY
158, FORD F-100
159, FORD F-150
160, FORD F-350
161, FORD F-75
162, FORD GALAXIE
163, FORD MAVERICK
164, FORD MUSTANG
165, GURGEL X12
166, IVECO DAILY
167, WILLYS JEEP
168, MERCEDES-BENZ C 280
169, MERCEDES-BENZ C 320
170, MERCEDES-BENZ C 43 AMG
171, MERCEDES-BENZ E 320
172, MERCEDES-BENZ E 500
173, MERCEDES-BENZ SLK 200
174, MINI COOPER
175, NISSAN ALTIMA
176, NISSAN SENTRA
177, VOLKSWAGEN BRASILIA
178, VOLKSWAGEN VOYAGE
179, VOLVO XC90
180, FORD CORCEL
181, MERCEDES-BENZ ML 320
182, LAND ROVER DISCOVERY 3
183, VOLKSWAGEN CROSSFOX
184, BMW 120i
185, FORD JEEP
186, FIAT IDEA
187, HYUNDAI TUCSON
188, HYUNDAI HR
189, MERCEDES-BENZ E 350
190, TOYOTA HILUX SW4
191, MERCEDES-BENZ CLS 350
192, BMW M6
193, BMW 130i
194, SMART FORTWO
195, PORSCHE CAYMAN
196, MERCEDES-BENZ C 200 K
197, INFINITI FX35
198, MERCEDES-BENZ ML 350
199, MERCEDES-BENZ S 500 L
200, MERCEDES-BENZ C 180 K
201, VOLKSWAGEN SPACEFOX
202, FORD FUSION
203, CADILLAC ESCALADE
204, CITROËN C4
205, KIA CERATO
206, CITROËN XSARA PICASSO
207, CHEVROLET PRISMA
208, BMW 550i
209, LAND ROVER RANGE ROVER SPORT
210, SSANGYONG ACTYON
211, SSANGYONG ACTYON SPORTS
212, SSANGYONG KYRON
213, KIA PICANTO
214, MERCEDES-BENZ B 200
215, BMW 335i
216, MERCEDES-BENZ CLS 63 AMG
217, RENAULT LOGAN
218, VOLVO C30
219, HYUNDAI VERACRUZ
220, MITSUBISHI OUTLANDER
221, NISSAN TIIDA
222, AUDI Q7
223, SUBARU TRIBECA
224, RENAULT SANDERO
225, VOLKSWAGEN JETTA
226, MERCEDES-BENZ C 180
227, MERCEDES-BENZ ML 63 AMG
228, AUDI R8
229, HYUNDAI AZERA
230, MERCEDES-BENZ E 63 AMG
231, MERCEDES-BENZ C 63 AMG
232, AUDI A5
233, MERCEDES-BENZ S 63 AMG
234, BMW X6
235, DODGE CHALLENGER
236, TOYOTA YARIS
237, JAGUAR XF
238, PEUGEOT 207
239, DODGE JOURNEY
240, CHEVROLET CAPTIVA
241, MERCEDES-BENZ C 300
242, FIAT LINEA
243, VOLKSWAGEN TIGUAN
244, FORD EDGE
245, FIAT 500
246, JINBEI TOPIC
247, CHEVROLET EQUINOX
248, KIA MOHAVE
249, VOLVO XC60
250, FORD TRANSIT
251, MERCEDES-BENZ B 170
252, CITROËN C4 PICASSO
253, RENAULT SYMBOL
254, NISSAN LIVINA
255, HYUNDAI I30
256, AUDI Q5
257, NISSAN GRAND LIVINA
258, PORSCHE PANAMERA
259, KIA SOUL
260, HONDA CITY
261, SUZUKI SX4
262, CHERY TIGGO
263, BMW 118i
264, CHEVROLET AGILE
265, LAND ROVER DISCOVERY 4
266, MERCEDES-BENZ B 180
267, FORD F-4000
268, BMW X1
269, PEUGEOT HOGGAR
270, CHERY FACE
271, VOLKSWAGEN AMAROK
272, HYUNDAI IX35
273, LAND ROVER RANGE ROVER VOGUE
274, CHEVROLET MALIBU
275, MERCEDES-BENZ C 200
276, MERCEDES-BENZ GLK 300
277, HYUNDAI I30 CW
278, CHEVROLET TRAILBLAZER
279, MERCEDES-BENZ A 200
280, MERCEDES-BENZ CLC 200 K
281, CITROËN AIRCROSS
282, PEUGEOT 3008
283, KIA CADENZA
284, FIAT BRAVO
285, MITSUBISHI ASX
286, RENAULT FLUENCE
287, AUDI A1
288, CITROËN DS4
289, CHEVROLET CRUZE
290, VOLKSWAGEN PASSAT VARIANT
291, MINI COUNTRYMAN
292, KIA OPTIMA
293, PEUGEOT 408
294, MERCEDES-BENZ C 250
295, JAC J3
296, JAC J5
297, JAC J6
298, MERCEDES-BENZ E 250
299, CHERY QQ
300, LAND ROVER RANGE ROVER EVOQUE
301, AUDI A7
302, LAND ROVER FREELANDER 2
303, HYUNDAI VELOSTER
304, FIAT FREEMONT
305, MITSUBISHI PAJERO TR4
306, MITSUBISHI PAJERO FULL
307, MITSUBISHI PAJERO SPORT
308, VOLKSWAGEN SPACE CROSS
309, NISSAN MARCH
310, MITSUBISHI PAJERO DAKAR
311, RENAULT DUSTER
312, PEUGEOT RCZ
313, NISSAN VERSA
314, MITSUBISHI L200 OUTDOOR
315, MITSUBISHI L200 SAVANA
316, MITSUBISHI L200 TRITON
317, CHEVROLET COBALT
318, JEEP COMPASS
319, AUDI RS3
320, PEUGEOT 308
321, TOYOTA PRIUS
322, FIAT GRAND SIENA
323, MERCEDES-BENZ SLK 250
324, AUDI Q3
325, CITROËN DS3
326, CHEVROLET SONIC
327, CHEVROLET SPIN
328, BMW 116i
329, TOYOTA ETIOS
330, HYUNDAI HB20
331, VOLVO V60
332, CHEVROLET ONIX
333, JAC J2
334, CITROËN DS5
335, HYUNDAI HB20X
336, LEXUS CT200H
337, LEXUS RX350 F-SPORT
338, CHERY CELER
339, BMW 125i
340, BMW 640i
341, HYUNDAI HB20S
342, PEUGEOT 208
343, LIFAN X60
344, MINI ONE
345, MINI PACEMAN
346, MERCEDES-BENZ GLK 220
347, JAGUAR F-TYPE
348, CITROËN C4 LOUNGE
349, BMW M 135i
350, AUDI SQ5
351, TOYOTA ETIOS CROSS
352, MERCEDES-BENZ CLA 200
353, MERCEDES-BENZ A 45 AMG
354, VOLKSWAGEN UP
355, SUBARU XV
356, HYUNDAI GRAND SANTA FÉ
357, PORSCHE MACAN
358, AUDI RS Q3
359, JAGUAR XE
360, MERCEDES-BENZ A 250
361, FORD KA +
362, MERCEDES-BENZ CLA 45 AMG
363, MERCEDES-BENZ CLA 250
364, MERCEDES-BENZ GLA 200
365, BMW 428i
366, LIFAN 530
367, BMW X4
368, VOLKSWAGEN CROSS UP
369, LEXUS NX 200T
370, BMW 420i
371, BMW M4
372, JAC T6
373, MERCEDES-BENZ GLA 45 AMG
374, HONDA HR-V
375, JEEP RENEGADE
376, MERCEDES-BENZ GLA 250
377, PEUGEOT 2008
378, LAND ROVER DISCOVERY SPORT
379, SUZUKI S-CROSS
380, RENAULT DUSTER OROCH
381, CITROËN C4 GRAND PICASSO
382, JAGUAR F-PACE
383, BMW 220i
384, MERCEDES-BENZ GLE 350
385, MERCEDES-BENZ GLC 250
386, MERCEDES-BENZ GLE 400
387, PORSCHE 718
388, FIAT TORO
389, MERCEDES-BENZ GLE 63 AMG
390, JAC T5
391, FIAT MOBI
392, MERCEDES-BENZ SLC 300
393, BMW M2
394, NISSAN KICKS
395, BMW 430i
396, MERCEDES-BENZ GLC 43 AMG
397, MERCEDES-BENZ GLE 43 AMG
398, HYUNDAI CRETA
399, RENAULT CAPTUR
400, HONDA WR-V
401, LAND ROVER RANGE ROVER VELAR
402, FIAT ARGO
403, RENAULT KWID
404, CITROËN C3 PICASSO
405, JAC T40
406, CITROËN JUMPY
407, PEUGEOT EXPERT
408, MERCEDES-BENZ CLA 180
409, VOLKSWAGEN VIRTUS
410, FIAT CRONOS
411, PEUGEOT 5008
412, BMW X2
413, CHERY TIGGO 2
414, JAGUAR E-PACE
415, VOLVO XC40
416, CITROËN C4 CACTUS
417, MITSUBISHI ECLIPSE CROSS
418, JAC T50
419, CHERY ARRIZO 5
420, BMW 530e
421, CHERY TIGGO 5x
422, CHERY TIGGO 7
423, VOLKSWAGEN T-CROSS
424, LEXUS UX 250h
425, AUDI Q8
426, CHEVROLET JOY
